Timestamp,date,observer,site,box,action,equipment_name,hobo_position,readout,battery_status,memory_status,equipment_type,card_deployed,card_collected,battery_status,memory_status,
6/2/2021 10:14,6/2/2021,KL KG,MBN,MBNC5,collect,MBNC5-I,inside,completed,100,7,hobo,,,,,
6/2/2021 10:15,6/2/2021,KL KG,MBN,MBNC5,collect,MBNC5-O,outside,completed,100,7,hobo,,,,,
6/3/2021 8:03,6/3/2021,KL KG,RRR,RRRG3,data download,RRRG3-I,inside,completed,100,7,hobo,,,,,
6/3/2021 8:03,6/3/2021,KL KG,RRR,RRRG3,data download,RRRG3-O,outside,completed,100,10,hobo,,,,,
6/3/2021 8:57,6/3/2021,"KL, KG",RRR,RRRG11,collect,RRRG11-I,inside,completed,100,10,hobo,,,,,
6/3/2021 8:57,6/3/2021,"KL, KG",RRR,RRRG11,collect,RRRG11-O,outside,completed,100,10,hobo,,,,,
6/3/2021 9:13,6/3/2021,"KL, KG",RRR,RRRG1,deploy,RRRG1-I,inside,NA,100,0,hobo,,,,,
6/3/2021 9:14,6/3/2021,"KL, KG",RRR,RRRG1,deploy,RRRG1-O,outside,NA,100,0,hobo,,,,,
6/3/2021 11:02,6/3/2021,KL KG,RRR,RRC15,collect,RRC15-I,inside,completed,100,7,hobo,,,,,
6/3/2021 11:03,6/3/2021,KL KG,RRR,RRC15,collect,RRC15-O,outside,completed,100,9,hobo,,,,,
6/3/2021 11:13,6/3/2021,"KL, KG",RRR,RRE10,collect,RRE10-I,inside,completed,100,9,hobo,,,,,
6/3/2021 11:14,6/3/2021,"KL, KG",RRR,RRE10,collect,RRE10-O,outside,completed,100,9,hobo,,,,,
6/3/2021 11:35,6/3/2021,KL KG,RRR,RRC11,deploy,RRC11-I,inside,NA,100,0,hobo,,,,,
6/3/2021 11:36,6/3/2021,KL KG,RRR,RRC11,deploy,RRC11-O,outside,NA,100,0,hobo,,,,,
6/3/2021 12:10,6/3/2021,KL KG,BRO,BRO9,deploy,BRO9-I,inside,NA,100,0,hobo,,,,,
6/3/2021 12:10,6/3/2021,KL KG,BRO,BRO9,deploy,BRO9-O,outside,NA,100,0,hobo,,,,,
6/4/2021 7:28,6/3/2021,"KL, KG",RRR,RRRG8,deploy,cam6,,,,,camera,?,NA,full,empty,
6/4/2021 8:26,6/4/2021,"KL, KG",PIC,PICO6,collect,PICO6-I,inside,completed,100,9,hobo,,,,,
6/4/2021 8:26,6/4/2021,"KL, KG",PIC,PICO6,collect,PICO6-O,outside,completed,100,9,hobo,,,,,
6/4/2021 8:52,6/4/2021,KL KG,PIC,PICR10,deploy,PICR10-I,inside,NA,100,0,hobo,,,,,
6/4/2021 8:52,6/4/2021,KL KG,PIC,PICR10,deploy,PICR10-O,outside,NA,100,0,hobo,,,,,
6/4/2021 9:56,6/4/2021,"KL, KG",PIC,PICG2,data download,PICG2-I,inside,completed,100,9,hobo,,,,,
