Comments,Site,Nestbox,Attempt No. ,Species,Male ID,Female ID,First Egg Date,First Egg Date Certainty,Clutch Size,Incubation Begins Date,Eggs Hatched,Eggs Failed-to-Hatch,Eggs Abandoned,Eggs Depredated,Eggs Destroyed,Egg Unknown Fate,Brood Size,Hatch Date,HD Observed or Estimated?,Earliest Target Banding Date,Latest Target Banding Date,Date Banded,Nestlings Fledging,Nestlings Perishing,Nestlings Abandoned,Nestlings Depredated,Nestlings Destroyed,BAND numbers of Nestlings,Notes
,Picnic Grounds,PCE8,2,TRES,,,5/27/2021,Estimated,4,5/30/2021,3,1,0,0,0,0,3,6/11/2021,Confirmed,6/23/2021,6/25/2021,6/26/2021,3,0,0,0,0,,
,Picnic Grounds,PCE9,1,WEBL,RD/SV right,,4/24/2021,Confirmed,1,-,0,0,0,0,0,1,0,-,-,-,-,-,-,-,-,-,-,,
,Picnic Grounds,PCE9,2,TRES,,,6/11/2021,Estimated,4,6/14/2021,0,0,0,0,0,4,0,-,-,-,-,-,-,-,-,-,-,,
,Picnic Grounds,PCT1,1,WEBL,unbanded,,4/11/2021,Confirmed,5,4/15/2021,5,0,0,0,0,0,5,4/29/2021,Estimated,5/13/2021,5/15/2021,5/13/2021,4,1,0,0,0,,
,Picnic Grounds,PCT1,2,WEBL,,unbanded,6/15/2021,Confirmed,4,6/18/2021,4,0,0,0,0,0,4,6/30/2021,Estimated ,7/14/2021,7/16/2021,7/15/2021,,,,,,,
,Picnic Grounds,PCT10,1,WEBL,,unbanded,4/24/2021,Confirmed,5,4/28/2021,3,0,0,0,0,2,3,5/11/2021,Estimated,5/25/2021,5/27/2021,5/25/2021,3,0,0,0,0,,
,Picnic Grounds,PCT10,2,WEBL,,unbanded SY,6/19/2021,Estimated,4,6/22/2021,4,0,0,0,0,0,4,6/17/2021,Estimated ,6/27/2021,6/28/2021,6/28/2021,,,,,,,
HOBO loggers,Picnic Grounds,PCT2,1,WEBL,"OR/GN right, SV/OR left",,4/16/2021,Confirmed,5,4/20/2021,4,0,0,0,0,1,4,5/4/2021,Estimated,5/17/2021,5/20/2021,5/18/2021,4,0,0,0,0,,
,Picnic Grounds,PCT2,2,WEBL,,unbanded SY,6/11/2021,Estimated,5,6/15/2021,4,1,0,0,0,0,4,6/26/2021,Estimated ,7/11/2021,7/13/2021,7/11/2021,,,,,,,
,Picnic Grounds,PCT3,1,WEBL,"SV/OR r, BE/GN l",,5/1/2021,Estimated,5,5/5/2021,5,0,0,0,0,0,5,5/18/2021,Confirmed,6/1/2021,6/3/2021,-,0,0,0,5,0,,
,Picnic Grounds,PCT4,1,TRES,,banded,5/5/2021,Estimated,5,5/9/2021,5,0,0,0,0,0,5,5/20/2021,Estimated ,6/1/2021,6/3/2021,6/4/2021,5,0,0,0,0,,
,Picnic Grounds,PCT5,1,WEBL,unbanded,unbanded,4/14/2021,Estimated,5,-,0,0,0,0,0,5,0,-,-,-,-,-,,,,,,,
,Picnic Grounds,PCT5,2,WEBL,unbanded,,5/6/2021,Estimated,4,5/9/2021,3,1,0,0,0,0,3,5/21/2021,Estimated ,6/4/2021,6/6/2021,6/6/2021,,,,,,,
,Picnic Grounds,PCT6,1,WEBL,,"RD/GN r, OR/SV l",6/12/2021,Estimated,4,6/15/2021,3,0,0,0,0,1,3,6/20/2021,Confirmed,7/4/2021,7/6/2021,7/5/2021,3,0,0,0,0,,
HOBO loggers,Picnic Grounds,PCT7 ,1,WEBL,"SV/OR r, BE/GN l","SV/OR r, GN/WH l",4/15/2021,Estimated,5,4/19/2021,5,0,0,0,0,0,5,5/3/2021,Estimated,5/16/2021,5/19/2021,5/19/2021,5,0,0,0,0,,
,Picnic Grounds,PCT8,1,TRES,,,5/16/2021,Estimated,5,5/20/2021,5,0,0,0,0,0,5,6/2/2021,Estimated ,6/14/2021,6/16/2021,,,,,,,,
HOBO loggers,Picnic Grounds,PCT9,1,WEBL,SVC-r,unbanded,4/16/2021,Confirmed,5,4/20/2021,4,1,0,0,0,0,4,5/3/2021,Estimated,5/16/2021,5/19/2021,5/18/2021,4,0,0,0,0,,
